start,count
"(1281, 790, 1091)","(67, 31, 59)"
"(1028, 368, 2056)","(58, 59, 36)"
"(1044, 571, 1414)","(44, 57, 49)"
"(979, 363, 1317)","(36, 42, 80)"
"(1141, 411, 160)","(55, 64, 35)"
"(1748, 143, 976)","(64, 41, 47)"
"(1185, 310, 2680)","(46, 65, 41)"
"(1766, 613, 775)","(54, 66, 35)"
"(1424, 288, 1784)","(54, 57, 40)"
"(779, 388, 1747)","(25, 64, 76)"
"(685, 263, 2217)","(70, 77, 23)"
"(1661, 191, 1358)","(37, 36, 91)"
"(1264, 277, 2437)","(68, 64, 28)"
"(1453, 580, 1617)","(56, 51, 44)"
"(1436, 392, 1642)","(73, 34, 50)"
"(351, 299, 116)","(61, 23, 88)"
"(1495, 434, 1089)","(46, 78, 34)"
"(1670, 615, 1678)","(48, 35, 73)"
"(1962, 61, 1803)","(32, 56, 69)"
"(1067, 436, 2638)","(42, 67, 44)"
"(726, 713, 3371)","(70, 29, 60)"
"(912, 669, 1427)","(65, 51, 37)"
"(68, 545, 2749)","(37, 60, 55)"
"(1079, 736, 1940)","(30, 50, 82)"
"(537, 447, 1540)","(43, 44, 65)"
"(783, 368, 2062)","(59, 31, 67)"
"(1297, 560, 1707)","(56, 39, 56)"
"(599, 38, 1506)","(47, 47, 56)"
"(862, 577, 1378)","(66, 26, 72)"
"(213, 412, 1048)","(51, 45, 54)"
"(2308, 711, 2804)","(47, 57, 46)"
"(1636, 180, 1383)","(66, 46, 41)"
"(1767, 463, 1608)","(50, 53, 47)"
"(1570, 313, 1642)","(38, 100, 32)"
"(965, 383, 569)","(60, 71, 29)"
"(1295, 315, 1696)","(47, 56, 47)"
"(682, 517, 1622)","(56, 37, 59)"
"(499, 430, 2117)","(34, 50, 71)"
"(1133, 54, 976)","(31, 59, 67)"
"(28, 769, 2129)","(62, 58, 34)"
"(62, 596, 642)","(66, 45, 42)"
"(2403, 236, 1569)","(62, 43, 46)"
"(1430, 589, 1052)","(38, 67, 49)"
"(927, 4, 2435)","(67, 47, 40)"
"(316, 675, 1156)","(69, 25, 70)"
"(1297, 318, 1691)","(40, 56, 55)"
"(966, 338, 1284)","(53, 45, 52)"
"(1094, 417, 131)","(46, 45, 61)"
"(1606, 545, 2547)","(31, 54, 74)"
"(799, 254, 1270)","(56, 30, 72)"
"(1474, 410, 1031)","(35, 58, 62)"
"(712, 678, 771)","(74, 37, 45)"
"(1724, 377, 170)","(34, 56, 66)"
"(1703, 387, 1365)","(76, 66, 25)"
"(938, 178, 2549)","(42, 77, 38)"
"(1022, 310, 1762)","(61, 30, 67)"
"(1612, 617, 1957)","(70, 30, 59)"
"(1042, 251, 957)","(45, 77, 35)"
"(1561, 584, 2474)","(37, 52, 64)"
"(847, 373, 1712)","(48, 41, 63)"
"(1563, 451, 1565)","(23, 66, 81)"
"(878, 679, 2790)","(30, 66, 62)"
"(69, 119, 3)","(42, 61, 48)"
"(794, 351, 2068)","(32, 60, 64)"
"(707, 330, 2159)","(32, 58, 64)"
"(1011, 313, 2028)","(51, 88, 28)"
"(1422, 344, 1720)","(61, 29, 71)"
"(2341, 62, 1777)","(58, 34, 62)"
"(509, 383, 1287)","(24, 84, 62)"
"(1328, 327, 1040)","(58, 32, 66)"
"(1294, 706, 2508)","(34, 82, 44)"
"(702, 280, 386)","(36, 71, 48)"
"(1068, 611, 1331)","(41, 36, 84)"
"(1686, 706, 1118)","(74, 38, 44)"
"(1057, 311, 1749)","(38, 53, 61)"
"(83, 112, 1491)","(41, 42, 70)"
"(1942, 739, 857)","(65, 62, 31)"
"(1398, 456, 2131)","(31, 59, 68)"
"(1155, 423, 2334)","(55, 55, 41)"
"(652, 437, 2341)","(56, 70, 31)"
"(1210, 357, 2110)","(39, 61, 52)"
"(1476, 414, 1709)","(31, 80, 49)"
"(1550, 396, 1372)","(45, 83, 33)"
"(749, 506, 2420)","(70, 27, 66)"
"(249, 270, 1577)","(33, 82, 46)"
"(1736, 499, 1411)","(74, 29, 57)"
"(596, 227, 716)","(39, 61, 52)"
"(1769, 438, 1268)","(43, 44, 65)"
"(1451, 591, 1582)","(60, 27, 77)"
"(1838, 331, 1268)","(61, 45, 44)"
"(1414, 878, 1968)","(79, 21, 73)"
"(3, 29, 989)","(73, 39, 44)"
"(1473, 436, 1039)","(87, 45, 32)"
"(1427, 492, 2849)","(43, 68, 43)"
"(1615, 533, 362)","(42, 73, 41)"
"(551, 6, 1525)","(57, 41, 52)"
"(1862, 281, 2620)","(41, 55, 55)"
"(231, 62, 1154)","(37, 63, 54)"
"(1075, 39, 1081)","(45, 42, 67)"
"(503, 187, 986)","(26, 67, 70)"
"(1058, 315, 967)","(68, 41, 44)"
"(519, 342, 901)","(61, 42, 48)"
"(1109, 103, 304)","(66, 51, 37)"
"(1876, 33, 1317)","(40, 50, 61)"
"(954, 628, 1327)","(60, 65, 32)"
"(121, 592, 2410)","(74, 25, 67)"
"(885, 222, 3175)","(43, 55, 53)"
"(2312, 725, 2774)","(45, 37, 73)"
"(261, 397, 1341)","(64, 31, 61)"
"(10, 252, 1385)","(42, 55, 53)"
"(1744, 407, 1471)","(60, 46, 44)"
"(1924, 262, 2833)","(34, 67, 54)"
"(1012, 371, 1571)","(36, 32, 107)"
"(1699, 555, 737)","(57, 47, 46)"
"(296, 445, 2537)","(83, 50, 30)"
"(1479, 494, 1463)","(44, 37, 77)"
"(1650, 151, 1395)","(62, 66, 30)"
"(1261, 440, 697)","(64, 31, 63)"
"(1472, 434, 1052)","(27, 62, 73)"
"(1142, 296, 785)","(28, 50, 88)"
"(1181, 376, 2132)","(44, 35, 81)"
"(1165, 368, 2006)","(34, 78, 46)"
"(744, 289, 2054)","(55, 51, 44)"
"(536, 84, 2044)","(68, 35, 52)"
"(104, 479, 2703)","(70, 26, 68)"
"(1973, 283, 2533)","(26, 91, 53)"
"(715, 252, 2014)","(59, 28, 75)"
"(332, 38, 2486)","(36, 91, 38)"
"(861, 456, 1333)","(73, 45, 37)"
"(1270, 719, 2517)","(61, 29, 69)"
"(441, 258, 1363)","(58, 36, 60)"
"(2020, 792, 235)","(68, 36, 50)"
"(1752, 446, 1254)","(72, 41, 42)"
"(1392, 469, 2094)","(33, 48, 77)"
"(805, 294, 1644)","(36, 68, 50)"
"(1351, 305, 1043)","(52, 60, 39)"
"(741, 433, 868)","(57, 58, 37)"
"(2127, 449, 1630)","(42, 42, 70)"
"(1449, 326, 1749)","(47, 66, 40)"
"(637, 316, 1693)","(44, 58, 48)"
"(1050, 311, 1804)","(74, 69, 24)"
"(769, 288, 1673)","(39, 61, 52)"
"(1564, 348, 1631)","(25, 67, 74)"
"(208, 497, 3178)","(36, 50, 68)"
"(458, 638, 1303)","(47, 78, 34)"
"(1221, 192, 2012)","(51, 72, 33)"
"(932, 539, 422)","(62, 49, 41)"
"(626, 322, 1705)","(32, 69, 55)"
"(680, 630, 1457)","(53, 40, 58)"
"(2228, 678, 2924)","(40, 56, 55)"
"(1722, 293, 20)","(27, 73, 63)"
"(2019, 62, 1829)","(37, 69, 49)"
"(1716, 380, 173)","(34, 56, 66)"
"(631, 226, 694)","(25, 67, 74)"
"(2413, 271, 1584)","(34, 62, 59)"
"(1379, 368, 1340)","(29, 66, 64)"
"(273, 382, 1342)","(43, 57, 50)"
"(109, 359, 2940)","(60, 37, 56)"
"(471, 421, 1530)","(36, 41, 84)"
"(607, 521, 2330)","(32, 86, 44)"
"(41, 391, 145)","(42, 50, 60)"
"(910, 623, 487)","(38, 60, 54)"
"(922, 343, 1274)","(82, 49, 30)"
"(158, 360, 3232)","(56, 48, 46)"
"(1307, 767, 1111)","(67, 42, 44)"
"(1093, 204, 1483)","(31, 64, 64)"
"(644, 0, 1471)","(28, 74, 58)"
"(1298, 327, 1721)","(73, 49, 34)"
"(1450, 416, 1034)","(97, 33, 38)"
"(1466, 877, 1962)","(29, 57, 75)"
"(356, 155, 1582)","(43, 55, 52)"
"(1016, 0, 1807)","(55, 88, 26)"
"(491, 354, 1299)","(38, 60, 55)"
"(902, 406, 1273)","(74, 26, 64)"
"(1047, 406, 1921)","(42, 48, 62)"
"(1447, 374, 1644)","(36, 52, 67)"
"(314, 740, 2053)","(52, 49, 49)"
"(353, 289, 3332)","(58, 56, 38)"
"(1170, 481, 1096)","(41, 48, 62)"
"(1023, 276, 979)","(61, 32, 63)"
"(925, 351, 1280)","(71, 57, 30)"
"(1548, 405, 1365)","(68, 47, 39)"
"(1654, 264, 1399)","(64, 59, 32)"
"(971, 339, 1456)","(45, 64, 43)"
"(1019, 368, 551)","(63, 45, 44)"
"(1332, 15, 2117)","(61, 32, 63)"
"(1121, 410, 2009)","(69, 24, 74)"
"(1442, 458, 1492)","(25, 68, 72)"
"(1120, 633, 1663)","(50, 50, 49)"
"(2372, 236, 1071)","(49, 32, 80)"
"(906, 634, 1458)","(39, 54, 59)"
"(2278, 145, 2504)","(65, 44, 44)"
"(1099, 21, 1932)","(54, 47, 49)"
"(905, 435, 954)","(27, 62, 73)"
"(1125, 579, 1419)","(57, 61, 36)"
"(1645, 626, 1100)","(72, 44, 38)"
"(883, 421, 1250)","(49, 39, 64)"
"(1075, 40, 1095)","(43, 67, 43)"
"(822, 471, 2274)","(57, 38, 56)"
"(2447, 251, 1605)","(88, 39, 36)"
"(759, 800, 1763)","(39, 105, 30)"
"(1440, 447, 369)","(28, 52, 83)"
"(22, 300, 1379)","(61, 38, 53)"
"(951, 364, 565)","(50, 74, 33)"
"(1391, 458, 2126)","(51, 45, 54)"
"(1451, 490, 1539)","(57, 63, 34)"
"(1535, 404, 1590)","(58, 35, 61)"
"(1087, 211, 1477)","(29, 78, 55)"
"(791, 45, 1691)","(34, 53, 69)"
"(27, 335, 1370)","(63, 47, 41)"
"(1041, 345, 1992)","(39, 63, 51)"
"(1021, 468, 2877)","(60, 40, 51)"
"(230, 700, 908)","(39, 64, 49)"
"(1061, 214, 1491)","(53, 39, 60)"
"(1462, 554, 1592)","(33, 52, 72)"
"(1158, 889, 1377)","(65, 51, 37)"
"(1671, 650, 1638)","(70, 24, 71)"
"(1427, 314, 1731)","(28, 87, 50)"
"(1824, 79, 1364)","(68, 55, 33)"
"(494, 418, 1246)","(56, 50, 44)"
"(2198, 268, 1677)","(53, 48, 49)"
"(73, 350, 1300)","(89, 45, 31)"
"(547, 572, 446)","(78, 42, 38)"
"(516, 115, 1575)","(53, 49, 47)"
"(635, 484, 2327)","(39, 92, 35)"
"(1370, 376, 1221)","(51, 27, 90)"
"(1477, 468, 1499)","(43, 42, 68)"
"(267, 706, 1202)","(73, 57, 30)"
"(0, 355, 1374)","(78, 28, 57)"
"(2488, 600, 1388)","(35, 65, 54)"
"(1134, 381, 2166)","(58, 30, 70)"
"(193, 161, 2435)","(70, 57, 31)"
"(1657, 685, 1090)","(36, 43, 79)"
"(1092, 305, 1760)","(72, 29, 59)"
"(1143, 488, 1091)","(42, 47, 62)"
"(965, 339, 1314)","(41, 52, 58)"
"(1551, 451, 1361)","(56, 39, 57)"
"(1823, 538, 628)","(24, 75, 69)"
"(285, 319, 1125)","(74, 22, 75)"
"(1316, 591, 2998)","(31, 56, 72)"
"(705, 225, 2067)","(48, 67, 38)"
"(2274, 397, 307)","(49, 31, 81)"
"(1920, 629, 768)","(52, 26, 91)"
"(1464, 206, 1207)","(27, 67, 70)"
"(1150, 93, 1045)","(59, 33, 64)"
"(1269, 828, 2464)","(90, 33, 41)"
"(697, 652, 1445)","(53, 33, 69)"
"(49, 246, 951)","(48, 47, 54)"
"(2386, 208, 1575)","(49, 38, 67)"
"(1494, 800, 1053)","(75, 48, 34)"
"(747, 551, 2423)","(66, 32, 59)"
"(1998, 681, 2125)","(43, 46, 62)"
"(47, 776, 2115)","(42, 53, 55)"
"(130, 481, 1121)","(59, 39, 54)"
"(1467, 342, 811)","(56, 45, 48)"
"(1517, 405, 1682)","(51, 34, 71)"
"(588, 403, 1505)","(29, 70, 61)"
"(249, 820, 1745)","(54, 65, 35)"
"(1451, 676, 1347)","(73, 62, 27)"
"(849, 354, 1719)","(41, 58, 52)"
"(1781, 467, 1424)","(31, 61, 65)"
"(1448, 703, 1039)","(52, 28, 85)"
"(2036, 461, 233)","(49, 55, 46)"
"(1690, 579, 730)","(57, 37, 59)"
"(544, 87, 2033)","(37, 46, 73)"
"(1090, 170, 803)","(55, 78, 29)"
"(1558, 243, 1517)","(57, 30, 74)"
"(813, 315, 1150)","(68, 29, 62)"
"(815, 356, 2087)","(54, 32, 72)"
"(532, 401, 1247)","(31, 67, 59)"
"(648, 33, 1499)","(46, 51, 53)"
"(804, 198, 1044)","(46, 48, 56)"
"(1478, 452, 1656)","(30, 64, 65)"
"(1005, 54, 1818)","(68, 36, 51)"
"(686, 280, 391)","(66, 42, 44)"
"(869, 599, 1421)","(50, 37, 67)"
"(671, 338, 2155)","(43, 46, 63)"
"(743, 16, 2497)","(85, 27, 54)"
"(2203, 32, 2050)","(93, 50, 26)"
"(1401, 733, 1085)","(58, 49, 43)"
"(1574, 459, 1601)","(52, 29, 81)"
"(1356, 383, 1371)","(33, 71, 53)"
"(1010, 220, 1467)","(78, 34, 47)"
"(1576, 468, 1654)","(39, 39, 82)"
"(1046, 351, 2038)","(90, 31, 44)"
"(1556, 442, 1565)","(39, 89, 35)"
"(917, 395, 1270)","(56, 53, 42)"
"(1515, 515, 1595)","(26, 65, 72)"
"(1406, 604, 1003)","(46, 74, 36)"
"(611, 679, 633)","(84, 41, 36)"
"(1221, 515, 681)","(68, 36, 50)"
"(1166, 150, 923)","(54, 43, 53)"
"(892, 412, 1242)","(78, 49, 32)"
"(1089, 116, 312)","(70, 46, 38)"
"(1022, 242, 969)","(58, 37, 58)"
"(1608, 748, 20)","(45, 48, 57)"
"(311, 20, 575)","(55, 30, 74)"
"(2394, 557, 1376)","(70, 54, 33)"
"(1006, 374, 551)","(50, 40, 62)"
"(1080, 664, 706)","(39, 55, 57)"
"(510, 187, 986)","(26, 58, 82)"
"(1126, 562, 1841)","(35, 99, 36)"
"(2419, 230, 1590)","(56, 54, 41)"
"(1759, 70, 1691)","(31, 61, 65)"
"(915, 378, 1237)","(57, 60, 37)"
"(1304, 326, 1843)","(59, 42, 50)"
"(745, 393, 1800)","(59, 37, 56)"
"(936, 125, 907)","(42, 30, 99)"
"(1396, 341, 1376)","(59, 55, 38)"
"(884, 120, 2914)","(67, 63, 29)"
"(13, 318, 1350)","(41, 74, 41)"
"(2083, 209, 897)","(77, 61, 26)"
"(869, 460, 1313)","(69, 34, 53)"
"(1282, 595, 3041)","(39, 57, 56)"
"(827, 342, 1157)","(61, 31, 66)"
"(1486, 406, 1701)","(71, 41, 43)"
"(1062, 430, 144)","(47, 38, 69)"
"(1283, 279, 2410)","(83, 29, 52)"
"(491, 72, 2221)","(36, 65, 53)"
"(705, 261, 1802)","(54, 60, 38)"
"(301, 281, 1559)","(25, 71, 68)"
"(1663, 692, 1124)","(55, 42, 53)"
"(87, 355, 3346)","(35, 107, 33)"
"(148, 496, 1177)","(57, 50, 43)"
"(1657, 576, 1092)","(50, 59, 42)"
"(164, 766, 2274)","(35, 58, 60)"
"(1151, 810, 2421)","(46, 49, 54)"
"(506, 353, 915)","(50, 52, 47)"
"(1755, 429, 1270)","(40, 68, 46)"
"(1573, 751, 40)","(70, 47, 37)"
"(592, 176, 489)","(37, 57, 58)"
"(1962, 674, 1403)","(59, 35, 60)"
"(87, 699, 2195)","(66, 40, 47)"
"(134, 498, 2174)","(62, 68, 29)"
"(1117, 246, 787)","(53, 56, 42)"
"(1141, 231, 1654)","(59, 54, 38)"
"(56, 248, 986)","(41, 54, 55)"
"(727, 308, 2002)","(75, 26, 63)"
"(57, 565, 625)","(49, 57, 44)"
"(1624, 29, 622)","(54, 38, 61)"
"(960, 373, 1383)","(62, 59, 34)"
"(1855, 289, 2695)","(33, 52, 73)"
"(565, 277, 892)","(30, 69, 59)"
"(1483, 332, 815)","(35, 81, 43)"
"(969, 266, 1260)","(104, 37, 32)"
"(240, 841, 1715)","(54, 46, 50)"
"(1667, 608, 1671)","(49, 58, 44)"
"(562, 265, 1726)","(47, 68, 39)"
"(127, 509, 2168)","(72, 49, 35)"
"(1405, 462, 2091)","(32, 54, 70)"
"(893, 129, 909)","(53, 45, 52)"
"(248, 631, 529)","(31, 49, 82)"
"(872, 479, 1298)","(33, 41, 90)"
"(264, 79, 809)","(33, 70, 52)"
"(844, 419, 944)","(90, 30, 46)"
"(175, 424, 1109)","(61, 62, 33)"
"(343, 216, 1236)","(29, 69, 61)"
"(1132, 52, 1006)","(47, 79, 34)"
"(1035, 469, 2865)","(67, 56, 33)"
"(498, 165, 1713)","(51, 62, 39)"
"(98, 697, 2856)","(46, 60, 45)"
"(1841, 450, 1058)","(70, 30, 58)"
"(322, 301, 1138)","(33, 40, 94)"
"(1279, 331, 2196)","(59, 43, 49)"
"(1360, 384, 1390)","(70, 58, 31)"
"(642, 464, 2511)","(50, 47, 53)"
"(1176, 495, 914)","(75, 48, 35)"
"(911, 878, 2668)","(44, 67, 42)"
"(661, 278, 1711)","(62, 52, 38)"
"(1306, 550, 290)","(26, 57, 84)"
"(1172, 228, 1660)","(54, 43, 53)"
"(837, 190, 1127)","(58, 23, 91)"
"(1465, 462, 1101)","(88, 43, 32)"
"(981, 606, 1333)","(70, 50, 35)"
"(1046, 352, 1784)","(76, 22, 72)"
"(152, 521, 1175)","(86, 34, 42)"
"(1105, 364, 2034)","(76, 69, 23)"
"(1392, 339, 1074)","(78, 63, 25)"
"(1152, 535, 2600)","(67, 24, 77)"
"(903, 579, 1415)","(36, 51, 67)"
"(753, 353, 784)","(53, 68, 35)"
"(780, 370, 203)","(55, 36, 63)"
"(1448, 456, 1500)","(23, 73, 74)"
"(41, 838, 1403)","(51, 32, 75)"
"(232, 212, 94)","(99, 35, 35)"
"(1262, 295, 2421)","(43, 66, 44)"
"(74, 509, 2722)","(54, 44, 52)"
"(931, 541, 379)","(72, 41, 42)"
"(2281, 141, 2482)","(75, 42, 39)"
"(2047, 675, 2355)","(47, 57, 46)"
"(1521, 503, 1582)","(40, 62, 50)"
"(1350, 479, 1444)","(30, 51, 79)"
"(1106, 310, 1997)","(34, 90, 40)"
"(1133, 763, 823)","(37, 64, 52)"
"(1761, 466, 1440)","(33, 49, 78)"
"(1732, 406, 2023)","(43, 72, 40)"
"(580, 367, 2076)","(34, 86, 41)"
"(258, 252, 1078)","(58, 47, 46)"
"(918, 452, 978)","(65, 30, 64)"
"(2430, 365, 3112)","(61, 48, 42)"
"(125, 481, 1141)","(45, 68, 40)"
"(1106, 322, 1994)","(33, 68, 55)"
"(1423, 295, 1736)","(43, 32, 90)"
"(1170, 630, 1881)","(50, 53, 46)"
"(320, 806, 983)","(72, 55, 31)"
"(549, 150, 1634)","(75, 27, 61)"
"(495, 413, 1318)","(39, 54, 59)"
"(494, 359, 1310)","(28, 72, 61)"
"(971, 668, 153)","(69, 29, 62)"
"(903, 135, 912)","(52, 39, 61)"
"(987, 353, 2794)","(59, 41, 51)"
"(1245, 418, 721)","(63, 60, 33)"
"(1483, 423, 1676)","(50, 34, 73)"
"(546, 396, 1259)","(51, 51, 47)"
"(1129, 54, 984)","(45, 62, 44)"
"(952, 347, 1573)","(52, 36, 66)"
"(344, 464, 7)","(59, 45, 46)"
"(395, 41, 2399)","(62, 32, 62)"
"(1568, 537, 2263)","(42, 55, 54)"
"(993, 282, 1256)","(49, 70, 36)"
"(1173, 722, 153)","(47, 44, 59)"
"(1999, 106, 1861)","(51, 60, 40)"
"(597, 530, 2355)","(75, 58, 28)"
"(816, 308, 1598)","(43, 40, 72)"
"(827, 435, 2267)","(30, 68, 61)"
"(1395, 457, 2127)","(49, 57, 44)"
"(701, 533, 1585)","(59, 27, 77)"
"(329, 667, 1142)","(48, 38, 67)"
"(996, 219, 1508)","(63, 38, 51)"
"(862, 443, 961)","(77, 43, 37)"
"(381, 252, 385)","(49, 50, 51)"
"(154, 332, 148)","(70, 42, 41)"
"(1002, 263, 1246)","(29, 60, 72)"
"(1618, 549, 366)","(82, 36, 42)"
"(829, 419, 2200)","(27, 79, 57)"
"(563, 264, 1707)","(80, 37, 41)"
"(1704, 548, 728)","(71, 35, 50)"
"(214, 256, 2738)","(43, 92, 31)"
"(1120, 636, 1108)","(50, 32, 77)"
"(233, 598, 518)","(36, 56, 62)"
"(193, 287, 2725)","(35, 81, 44)"
"(1096, 174, 777)","(52, 47, 51)"
"(24, 269, 1397)","(40, 80, 38)"
"(1273, 324, 2350)","(23, 71, 74)"
"(1513, 366, 1593)","(53, 52, 45)"
"(634, 425, 1576)","(42, 68, 44)"
"(1149, 592, 1835)","(25, 60, 81)"
"(936, 655, 1442)","(31, 71, 56)"
"(223, 530, 3162)","(54, 51, 45)"
"(1765, 474, 1406)","(48, 31, 83)"
"(550, 153, 1582)","(56, 39, 58)"
"(510, 376, 1295)","(62, 70, 28)"
"(228, 512, 3162)","(49, 55, 46)"
"(1418, 629, 1023)","(53, 68, 34)"
"(1008, 142, 3147)","(48, 52, 49)"
"(1030, 15, 1818)","(68, 38, 47)"
"(857, 417, 2199)","(33, 64, 58)"
"(787, 309, 688)","(43, 59, 49)"
"(1092, 55, 1084)","(61, 80, 25)"
"(1550, 514, 1679)","(31, 49, 80)"
"(1559, 166, 2217)","(49, 59, 43)"
"(29, 661, 1182)","(66, 44, 43)"
"(916, 100, 703)","(48, 45, 57)"
"(1107, 637, 1298)","(51, 57, 43)"
"(2306, 547, 2287)","(77, 38, 43)"
"(1677, 708, 867)","(65, 53, 36)"
"(779, 301, 751)","(27, 85, 54)"
"(1065, 312, 1991)","(26, 65, 73)"
"(236, 509, 2108)","(27, 63, 72)"
"(1617, 580, 1975)","(54, 35, 64)"
"(1809, 115, 1169)","(52, 56, 42)"
"(1729, 299, 23)","(29, 84, 51)"
"(476, 298, 1346)","(50, 45, 55)"
"(2015, 795, 3312)","(34, 47, 78)"
"(923, 638, 591)","(37, 54, 61)"
"(1527, 425, 1032)","(57, 65, 33)"
"(1522, 572, 1112)","(75, 47, 35)"
"(312, 232, 1501)","(60, 33, 62)"
"(2118, 387, 473)","(47, 32, 82)"
"(838, 473, 1309)","(67, 36, 51)"
"(1741, 340, 759)","(30, 42, 98)"
"(769, 306, 2050)","(32, 77, 50)"
"(1725, 465, 1555)","(34, 66, 56)"
"(2287, 97, 1961)","(59, 30, 70)"
"(1545, 337, 1868)","(63, 28, 70)"
"(209, 307, 2739)","(28, 62, 71)"
"(800, 235, 1866)","(74, 37, 45)"
"(458, 251, 1363)","(77, 49, 32)"
"(1546, 406, 1630)","(66, 63, 30)"
"(1513, 399, 1587)","(54, 44, 53)"
"(1504, 500, 1021)","(60, 27, 76)"
"(837, 236, 1099)","(92, 27, 50)"
"(860, 353, 1093)","(53, 41, 57)"
"(360, 569, 1288)","(31, 74, 53)"
"(2334, 186, 2452)","(52, 38, 63)"
"(1352, 374, 1352)","(63, 65, 30)"
"(2321, 916, 2952)","(61, 26, 79)"
"(1044, 124, 1098)","(47, 44, 60)"
"(1563, 448, 1403)","(67, 64, 29)"
"(1274, 335, 2184)","(67, 68, 27)"
"(1061, 192, 804)","(59, 59, 35)"
"(1769, 479, 1597)","(63, 34, 57)"
"(1047, 372, 1925)","(64, 77, 25)"
"(2473, 225, 1588)","(61, 67, 30)"
"(1347, 370, 1346)","(74, 73, 23)"
"(1348, 477, 1443)","(42, 43, 69)"
"(1088, 48, 3037)","(23, 74, 73)"
"(522, 379, 3379)","(58, 60, 36)"
"(1099, 118, 327)","(58, 43, 50)"
"(1756, 112, 1679)","(85, 24, 60)"
"(916, 516, 514)","(66, 42, 44)"
"(1070, 349, 1375)","(63, 58, 34)"
"(1171, 379, 2018)","(29, 66, 65)"
"(1335, 623, 1649)","(49, 49, 52)"
"(961, 343, 1594)","(33, 60, 62)"
"(1051, 280, 974)","(52, 35, 68)"
"(2281, 217, 2248)","(38, 43, 75)"
"(1445, 455, 1669)","(69, 51, 35)"
"(1129, 382, 2019)","(61, 59, 34)"
"(1075, 374, 159)","(41, 76, 40)"
"(1543, 448, 1384)","(66, 66, 28)"
"(1103, 298, 1758)","(51, 54, 45)"
"(1334, 304, 975)","(33, 60, 63)"
"(326, 39, 577)","(51, 65, 37)"
"(2119, 179, 885)","(54, 47, 49)"
"(206, 425, 1086)","(29, 78, 54)"
"(784, 296, 721)","(52, 67, 36)"
"(899, 451, 1259)","(53, 29, 79)"
"(993, 296, 2000)","(44, 54, 52)"
"(656, 802, 2087)","(32, 70, 56)"
"(731, 430, 860)","(67, 70, 26)"
"(713, 249, 2020)","(55, 36, 63)"
"(560, 152, 1597)","(63, 37, 53)"
"(1744, 96, 1001)","(46, 80, 34)"
"(985, 698, 2011)","(70, 44, 41)"
"(978, 345, 1414)","(39, 44, 73)"
"(1440, 314, 1751)","(53, 36, 65)"
"(835, 434, 2157)","(43, 46, 63)"
"(824, 207, 1174)","(25, 57, 88)"
"(1169, 312, 2696)","(78, 42, 38)"
"(1267, 325, 1713)","(63, 34, 58)"
"(89, 460, 708)","(43, 41, 70)"
"(1780, 490, 1489)","(60, 41, 51)"
